Project-Number,Name,Lat,Lng,Weather_Date,Weather_Type
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-08 09:00:00,Rain
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-08 12:00:00,Rain
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-08 15:00:00,Rain
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-08 18:00:00,Rain
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-09 06:00:00,High Wind
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-09 09:00:00,High Wind
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-09 12:00:00,High Wind
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-09 15:00:00,High Wind
19-128,UNITED IAH TERMINAL C BHS REPLACEMENT,29.98596229999999,-95.33682160000001,2024-01-09 18:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-05 06:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-05 09:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-05 12:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-05 15:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-05 18:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-06 06:00:00,Snow
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-06 09:00:00,Snow
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-06 12:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-06 15:00:00,High Wind
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-06 18:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-07 06:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-07 09:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-07 12:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-07 15:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-07 18:00:00,good weather
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-08 06:00:00,Snow
19-173,NORTHWATER RAPID MIX/FLOC/SED,39.8180911,-105.2217388,2024-01-08 09:00:00,Snow
